id,date,hours_worked,performed_tasks,employee_id,facility_id,salary_amount,bonus
903,2025-06-04,4,"[123, 304, 590]",02270326116,EJE533apv,270.0,750.0
778,2025-06-24,7,[],65102880642,EJE533apv,760.0,0.0
709,2025-03-29,7,[],75020759171,APV440ysv,999.0,0.0
230,2025-03-04,4,[],97042365105,DQI566ecs,108.0,0.0
727,2025-05-27,6,[946],83051228593,APV440ysv,972.0,290.0
224,2025-04-26,3,"[123, 946, 978]",96102016751,DQI566ecs,729.0,720.0
916,2025-06-24,7,[],74010542940,XEB805tup,1715.0,0.0
813,2025-06-24,5,[987],88091613479,APV440ysv,1053.0,290.0
9,2025-05-20,3,"[867, 961]",68011810139,APV440ysv,621.0,640.0
532,2025-04-31,4,[987],89122397942,APV440ysv,740.0,290.0
185,2025-04-16,7,[],65120677783,XEB805tup,651.0,0.0
642,2025-06-21,3,"[452, 939, 964]",62020111425,APV440ysv,3888.0,940.0
705,2025-03-26,2,"[561, 959]",83051228593,DQI566ecs,1242.0,800.0
193,2025-06-10,3,"[253, 561, 964]",75020759171,EJE533apv,351.0,960.0
753,2025-05-06,5,[148],65102880642,ICE284hap,190.0,290.0
410,2025-03-25,4,[],77012675986,ICE284hap,930.0,0.0
72,2025-06-24,5,"[447, 867, 978]",79112415509,ICE284hap,1170.0,780.0
598,2025-04-07,6,"[387, 900]",15720759071,ICE284hap,1269.0,300.0
210,2025-04-19,6,[],68011810139,APV440ysv,810.0,0.0
612,2025-03-31,1,"[452, 956]",15720759071,DQI566ecs,891.0,440.0
440,2025-04-01,1,"[146, 939]",83051228593,DQI566ecs,27.0,1000.0
238,2025-06-24,5,[148],77012675986,XEB805tup,899.0,290.0
63,2025-05-13,8,"[959, 961]",81050936019,DQI566ecs,341.0,800.0
882,2025-04-08,4,"[387, 964]",81050936019,APV440ysv,527.0,440.0
622,2025-04-26,3,"[959, 978]",96091261059,DQI566ecs,1470.0,440.0
319,2025-06-03,5,[],79011320010,DQI566ecs,185.0,0.0
45,2025-04-26,1,"[447, 452, 961]",74010542940,APV440ysv,1225.0,1140.0
313,2025-06-28,3,[],77012675986,XEB805tup,992.0,0.0
84,2025-05-05,5,[123],89122397942,ICE284hap,962.0,290.0
345,2025-05-09,2,[900],84731091580,ICE284hap,1404.0,160.0
430,2025-04-08,3,"[385, 900]",65102880642,EJE533apv,304.0,450.0
978,2025-05-24,3,"[123, 452, 959]",62020111425,DQI566ecs,2484.0,730.0
740,2025-03-29,6,[946],88032898468,ICE284hap,1431.0,290.0
341,2025-05-19,8,"[452, 978]",16102016795,ICE284hap,2430.0,280.0
670,2025-04-05,6,"[148, 253, 978]",15720759071,APV440ysv,1107.0,590.0
431,2025-06-17,5,"[852, 987]",02270326116,EJE533apv,621.0,371.0
513,2025-03-11,4,"[900, 956, 959]",88091613479,APV440ysv,243.0,760.0
635,2025-03-25,7,"[123, 867, 961]",88032898468,EJE533apv,1269.0,930.0
950,2025-04-19,6,[946],68011910138,APV440ysv,945.0,290.0
268,2025-03-29,6,[253],65020111422,EJE533apv,729.0,160.0
82,2025-06-18,4,[],89122397942,XEB805tup,666.0,0.0
832,2025-04-19,3,[],02270326116,DQI566ecs,702.0,0.0
955,2025-05-06,5,"[220, 667, 939, 946]",02270326116,XEB805tup,135.0,865.0
195,2025-03-11,1,"[590, 900, 939]",85100927297,APV440ysv,682.0,820.0
775,2025-05-19,7,"[146, 304]",75020759171,EJE533apv,783.0,800.0
992,2025-06-20,1,[304],62020111425,ICE284hap,3807.0,300.0
220,2025-06-16,6,"[561, 939]",65120677783,XEB805tup,1085.0,1000.0
361,2025-03-18,7,"[304, 452]",65020111422,ICE284hap,432.0,440.0
967,2025-03-11,8,"[447, 956]",99052424159,DQI566ecs,722.0,800.0
984,2025-05-01,4,"[452, 663, 939]",68011810139,DQI566ecs,1242.0,689.0
303,2025-04-19,6,"[123, 146, 590]",15720759071,APV440ysv,1701.0,950.0
13,2025-03-14,5,[385],84731091580,XEB805tup,486.0,290.0
266,2025-05-20,8,"[148, 867]",77012675986,XEB805tup,837.0,430.0
125,2025-03-10,4,"[304, 447]",99052424159,XEB805tup,418.0,800.0
436,2025-04-05,1,[959],65020111422,EJE533apv,297.0,300.0
677,2025-03-06,5,[956],85100927297,DQI566ecs,372.0,300.0
829,2025-06-13,1,[],02270326116,ICE284hap,486.0,0.0
530,2025-06-20,3,"[304, 447]",83012358273,DQI566ecs,992.0,800.0
938,2025-04-08,5,"[452, 867]",96102016751,APV440ysv,324.0,280.0
508,2025-04-15,6,"[253, 590]",62020111425,ICE284hap,1431.0,320.0
646,2025-06-10,5,"[123, 394]",88091613479,APV440ysv,405.0,293.0
960,2025-03-11,1,[959],15720759071,APV440ysv,243.0,300.0
959,2025-06-17,8,"[385, 387]",65020111422,APV440ysv,1026.0,430.0
919,2025-06-03,2,[978],16102016795,XEB805tup,2862.0,140.0
1003,2025-06-10,5,[],88032898468,ICE284hap,513.0,0.0
104,2025-04-08,7,"[946, 978]",79011320010,APV440ysv,666.0,430.0
471,2025-06-03,3,"[106, 146, 939]",83051228593,DQI566ecs,81.0,1059.0
968,2025-04-15,6,[],81050936019,DQI566ecs,713.0,0.0
438,2025-03-12,1,[946],99052424159,EJE533apv,760.0,290.0
652,2025-06-16,3,[],74010542940,DQI566ecs,945.0,0.0
233,2025-06-31,8,"[146, 253, 867]",77012675986,APV440ysv,1240.0,800.0
157,2025-05-26,3,"[304, 987]",02270326116,ICE284hap,729.0,590.0
917,2025-06-13,6,[],79112415509,APV440ysv,630.0,0.0
528,2025-04-08,4,[],89122397942,ICE284hap,185.0,0.0
696,2025-03-14,6,"[978, 987]",81050936019,XEB805tup,899.0,430.0
81,2025-04-29,1,"[447, 867]",87031491580,APV440ysv,648.0,640.0
529,2025-04-24,1,[],77012675986,EJE533apv,930.0,0.0
369,2025-06-05,1,[978],75020759171,EJE533apv,162.0,140.0
1004,2025-06-10,7,"[304, 939]",96102016751,DQI566ecs,567.0,800.0
112,2025-04-08,6,[964],65020111422,XEB805tup,459.0,300.0
757,2025-03-04,5,"[148, 939]",79112415509,ICE284hap,225.0,790.0
518,2025-06-24,5,"[385, 561, 939]",88032898468,ICE284hap,1026.0,1290.0
76,2025-05-14,7,"[123, 867, 964]",83051228593,APV440ysv,486.0,730.0
835,2025-04-10,3,"[253, 900]",87031491580,ICE284hap,405.0,320.0
159,2025-05-06,8,"[123, 253]",75020759171,EJE533apv,216.0,450.0
563,2025-03-12,3,"[978, 983]",79112415509,EJE533apv,720.0,179.0
316,2025-05-20,6,"[253, 964]",83012358273,APV440ysv,589.0,460.0
569,2025-04-01,5,[],79011320010,DQI566ecs,185.0,0.0
180,2025-03-18,4,"[387, 939]",15720759071,ICE284hap,459.0,640.0
858,2025-05-20,3,"[561, 939]",68011910138,APV440ysv,1485.0,1000.0
420,2025-04-04,8,"[253, 304, 987]",83012358273,APV440ysv,403.0,750.0
451,2025-06-05,6,[956],74010542940,DQI566ecs,385.0,300.0
534,2025-06-21,2,"[387, 452]",87031491580,DQI566ecs,702.0,280.0
744,2025-06-24,6,[],97042365105,DQI566ecs,675.0,0.0
934,2025-06-07,7,"[123, 946, 978]",96102016751,ICE284hap,378.0,720.0
490,2025-03-25,4,"[900, 959, 961]",89122397942,DQI566ecs,1184.0,960.0
818,2025-03-25,1,[447],79011320010,APV440ysv,1406.0,500.0
53,2025-05-03,6,[385],85100927297,DQI566ecs,1178.0,290.0
321,2025-04-15,0,[],85100927297,XEB805tup,341.0,0.0
99,2025-03-04,5,[146],89122397942,ICE284hap,185.0,500.0
398,2025-05-12,7,[590],77012675986,ICE284hap,310.0,160.0
375,2025-04-15,8,[146],68011910138,APV440ysv,783.0,500.0
71,2025-05-27,8,"[148, 900, 964]",84731091580,EJE533apv,1620.0,750.0
904,2025-04-28,8,"[900, 939, 987]",81050936019,APV440ysv,1178.0,950.0
281,2025-06-24,5,[148],77012675986,XEB805tup,899.0,290.0
201,2025-06-21,4,[385],74010542940,ICE284hap,1470.0,290.0
416,2025-05-13,8,[253],83051228593,XEB805tup,297.0,160.0
564,2025-04-07,7,"146, 956, 961]",97042365105,EJE533apv,216.0,1300.0
197,2025-06-07,7,"[956, 961]",16102016795,ICE284hap,3186.0,800.0
957,2025-06-24,2,"[146, 148]",75020759171,XEB805tup,459.0,790.0
92,2025-06-02,3,"[452, 765, 964]",65020111422,APV440ysv,756.0,507.0
906,2025-05-28,4,[590],16102016795,DQI566ecs,2808.0,160.0
512,2025-05-20,7,[],02270326116,ICE284hap,648.0,0.0
808,2025-04-29,6,"[123, 447, 987]",97042365105,ICE284hap,1026.0,1080.0
459,2025-03-11,3,"[939, 946]",65020111422,APV440ysv,243.0,790.0
870,2025-03-08,8,"[146, 304]",85100927297,XEB805tup,651.0,800.0
900,2025-06-31,3,"[146, 387]",88091613479,APV440ysv,1161.0,640.0
295,2025-05-16,8,"[387, 447]",74010542940,APV440ysv,735.0,640.0
213,2025-04-29,5,"[447, 452]",81050936019,EJE533apv,1333.0,640.0
849,2025-05-05,1,"[146, 148, 946]",97042365105,EJE533apv,1053.0,1080.0
109,2025-06-19,6,"[452, 964]",96102016751,APV440ysv,1053.0,440.0
825,2025-04-29,4,"[387, 447, 900]",62020111425,DQI566ecs,1998.0,800.0
704,2025-06-05,1,[],65102880642,XEB805tup,114.0,0.0
355,2025-05-07,0,[],81050936019,EJE533apv,31.0,-160.0
135,2025-04-29,8,[304],88032898468,DQI566ecs,1215.0,300.0
453,2025-03-27,4,"[148, 956, 964]",02270326116,APV440ysv,540.0,890.0
154,2025-06-17,3,[],83012358273,DQI566ecs,899.0,0.0
121,2025-06-24,6,[964],68011810139,DQI566ecs,648.0,300.0
141,2025-06-05,7,"[253, 987]",88032898468,XEB805tup,378.0,450.0
423,2025-05-19,8,"[305, 590, 594]",96102016751,ICE284hap,1134.0,189.0
426,2025-05-12,0,[],81050936019,ICE284hap,93.0,-160.0
899,2025-06-30,5,"[123, 253, 964]",79011320010,EJE533apv,1628.0,750.0
880,2025-04-05,1,"[148, 304, 987]",62020111425,EJE533apv,864.0,880.0
140,2025-05-01,4,"[385, 900]",68011910138,DQI566ecs,1188.0,450.0
901,2025-03-26,7,"[253, 978]",85100927297,DQI566ecs,1798.0,300.0
122,2025-04-01,4,"[452, 590, 867]",65020111422,DQI566ecs,108.0,440.0
644,2025-04-01,1,[900],88032898468,APV440ysv,27.0,160.0
60,2025-04-22,1,"[447, 900]",16102016795,ICE284hap,1539.0,660.0
662,2025-05-24,1,[146],81050936019,APV440ysv,713.0,500.0
482,2025-06-05,5,"[561, 939, 946]",96102016751,ICE284hap,189.0,1290.0
942,2025-06-05,5,"[447, 956, 959]",16102016795,ICE284hap,2997.0,1100.0
787,2025-04-10,1,[],88032898468,XEB805tup,567.0,0.0
1000,2025-04-01,4,"[387, 961]",62020111425,DQI566ecs,675.0,640.0
484,2025-04-08,4,"[162, 253, 648, 978]",65120677783,DQI566ecs,372.0,381.0
106,2025-06-19,2,[],81050936019,XEB805tup,620.0,0.0
380,2025-05-28,1,[],88032898468,EJE533apv,1080.0,0.0
464,2025-06-19,1,[900],88032898468,EJE533apv,702.0,160.0
800,2025-04-08,2,"[253, 961, 964]",02270326116,APV440ysv,270.0,960.0
675,2025-05-27,3,[],68011810139,APV440ysv,702.0,0.0
615,2025-03-04,1,"[148, 385, 939]",87031491580,XEB805tup,27.0,1080.0
89,2025-05-13,7,"[148, 561, 959]",85100927297,DQI566ecs,434.0,1090.0
999,2025-04-08,2,"[590, 961]",75020759171,ICE284hap,432.0,660.0
265,2025-06-09,1,"[123, 939]",87031491580,EJE533apv,216.0,790.0
483,2025-05-26,2,"[146, 956, 964]",65120677783,XEB805tup,1116.0,1100.0
522,2025-05-01,2,[],79112415509,ICE284hap,1440.0,0.0
575,2025-03-14,5,[387],85100927297,DQI566ecs,992.0,140.0
520,2025-04-12,8,"[961, 978]",83051228593,EJE533apv,594.0,640.0
982,2025-03-04,3,[987],68011910138,DQI566ecs,81.0,290.0
531,2025-04-29,4,[],65020111422,DQI566ecs,1566.0,0.0
171,2025-05-03,2,"[304, 959, 978]",65102880642,DQI566ecs,1178.0,740.0
595,2025-06-17,1,[],77012675986,APV440ysv,744.0,0.0
450,2025-06-13,3,"[304, 867, 961]",65020111422,APV440ysv,810.0,940.0
607,2025-04-22,0,[],87031491580,APV440ysv,540.0,0.0
579,2025-05-20,1,"[561, 956]",65020111422,ICE284hap,405.0,800.0
189,2025-03-31,8,"[146, 561]",79112415509,APV440ysv,1755.0,1000.0
11,2025-04-16,5,"[387, 867]",88032898468,APV440ysv,864.0,280.0
350,2025-05-27,7,"[452, 852, 987]",88091613479,DQI566ecs,999.0,435.0
184,2025-04-12,2,"[452, 961, 964]",65020111422,XEB805tup,702.0,940.0
819,2025-05-26,4,[],83051228593,ICE284hap,810.0,0.0
592,2025-05-05,8,"[447, 561, 959]",85100927297,ICE284hap,1426.0,1300.0
580,2025-05-28,4,"[148, 253, 447]",96091261059,ICE284hap,1435.0,950.0
419,2025-04-11,5,"[123, 447, 987]",74010542940,DQI566ecs,805.0,1080.0
927,2025-04-29,1,"[385, 959]",79011320010,DQI566ecs,1221.0,590.0
200,2025-03-04,2,"[123, 304, 956]",88091613479,ICE284hap,54.0,890.0
80,2025-04-01,4,"586, 771, 987]",96102016751,EJE533apv,108.0,321.0
811,2025-05-06,6,[964],65020111422,EJE533apv,162.0,300.0
542,2025-04-31,6,"[387, 561]",79011320010,XEB805tup,1443.0,640.0
868,2025-03-18,4,"[123, 148, 961]",02270326116,DQI566ecs,324.0,1080.0
408,2025-04-15,7,"[175, 229, 978]",97042365105,EJE533apv,459.0,177.0
898,2025-03-24,8,"[148, 900, 978]",15720759071,EJE533apv,675.0,590.0
477,2025-03-25,3,[447],79112415509,DQI566ecs,1395.0,500.0
49,2025-05-07,1,"[385, 452]",89122397942,ICE284hap,296.0,430.0
253,2025-06-31,5,[964],79112415509,EJE533apv,1755.0,300.0
533,2025-04-05,3,[],96102016751,XEB805tup,189.0,0.0
241,2025-03-25,4,"[253, 363, 737, 987]",99052424159,XEB805tup,1444.0,533.0
23,2025-04-12,3,"[123, 148]",96091261059,EJE533apv,490.0,580.0
340,2025-06-24,3,"[452, 987]",79011320010,ICE284hap,1369.0,430.0
290,2025-06-17,6,[387],81050936019,ICE284hap,558.0,140.0
754,2025-04-08,2,"[590, 867, 959]",15720759071,ICE284hap,1323.0,600.0
258,2025-03-28,3,"[867, 939, 964]",88091613479,EJE533apv,810.0,940.0
212,2025-05-13,5,[561],02270326116,XEB805tup,432.0,500.0
633,2025-06-21,3,"[447, 939]",65020111422,APV440ysv,1134.0,1000.0
541,2025-05-10,7,"[253, 387]",97042365105,EJE533apv,351.0,300.0
698,2025-06-30,7,"[900, 956]",68011810139,APV440ysv,891.0,460.0
397,2025-05-06,4,"[939, 961, 978]",96091261059,ICE284hap,140.0,1140.0
387,2025-03-28,7,"[661, 886, 956]",81050936019,APV440ysv,1643.0,307.0
151,2025-05-13,8,[148],16102016795,APV440ysv,1998.0,290.0
681,2025-06-02,6,[900],65120677783,EJE533apv,1674.0,160.0
627,2025-06-13,3,"[304, 956, 978]",62020111425,APV440ysv,3564.0,740.0
447,2025-03-17,6,"[197, 385, 447, 935]",83051228593,XEB805tup,621.0,865.0
242,2025-05-27,1,[148],96102016751,ICE284hap,1431.0,290.0
561,2025-05-10,6,"[123, 148]",02270326116,APV440ysv,297.0,580.0
368,2025-04-01,1,[],81050936019,EJE533apv,31.0,0.0
936,2025-03-18,0,[],97042365105,APV440ysv,297.0,-160.0
987,2025-04-22,7,"[304, 956]",88091613479,DQI566ecs,1215.0,600.0
527,2025-06-03,6,"[304, 946]",02270326116,XEB805tup,162.0,590.0
456,2025-05-13,7,[],97042365105,ICE284hap,540.0,0.0
504,2025-05-13,0,[],99052424159,APV440ysv,380.0,0.0
307,2025-05-10,1,[],79011320010,ICE284hap,555.0,0.0
572,2025-05-21,3,[447],96102016751,ICE284hap,1404.0,500.0
120,2025-06-27,8,[],83012358273,APV440ysv,1333.0,0.0
334,2025-04-31,6,"[304, 900]",79112415509,DQI566ecs,1620.0,460.0
611,2025-06-05,1,"[123, 385]",15720759071,EJE533apv,3294.0,580.0
43,2025-03-19,4,[447],79011320010,XEB805tup,1369.0,500.0
501,2025-06-17,1,[],96091261059,XEB805tup,700.0,0.0
83,2025-05-24,3,"[304, 987]",65020111422,DQI566ecs,486.0,590.0
493,2025-05-13,8,[],87031491580,EJE533apv,594.0,0.0
583,2025-04-29,7,"[292, 590, 939]",75020759171,APV440ysv,1107.0,733.0
146,2025-06-28,1,[987],88091613479,DQI566ecs,1080.0,290.0
624,2025-04-15,8,"[253, 987]",75020759171,DQI566ecs,648.0,450.0
958,2025-05-06,8,"[146, 900]",88032898468,APV440ysv,216.0,660.0
887,2025-04-26,3,"[452, 956]",87031491580,ICE284hap,621.0,440.0
814,2025-04-29,3,"[304, 387, 946]",79112415509,XEB805tup,1350.0,730.0
142,2025-05-10,6,"[148, 385, 900]",96102016751,APV440ysv,486.0,740.0
828,2025-05-13,7,"[561, 964]",75020759171,XEB805tup,567.0,800.0
739,2025-05-27,2,"[304, 447, 959]",88032898468,APV440ysv,1053.0,1100.0
437,2025-04-16,3,[],87031491580,DQI566ecs,540.0,0.0
285,2025-05-08,5,[],96091261059,ICE284hap,315.0,0.0
909,2025-03-11,4,"[452, 939, 946]",97042365105,DQI566ecs,216.0,930.0
406,2025-06-10,3,[],85100927297,XEB805tup,341.0,0.0
27,2025-03-10,2,[],83012358273,DQI566ecs,62.0,0.0
373,2025-06-17,3,"[959, 964]",79011320010,EJE533apv,740.0,600.0
344,2025-05-20,3,"[385, 596]",79112415509,XEB805tup,945.0,387.0
249,2025-06-02,1,"[900, 939, 959]",84731091580,APV440ysv,1647.0,960.0
963,2025-03-18,7,[],87031491580,DQI566ecs,972.0,0.0
509,2025-03-04,6,"[385, 956]",65102880642,APV440ysv,228.0,590.0
866,2025-04-15,5,"[123, 447]",16102016795,EJE533apv,1431.0,790.0
949,2025-05-19,0,[],83012358273,APV440ysv,403.0,0.0
400,2025-05-02,8,[964],85100927297,EJE533apv,992.0,300.0
752,2025-06-30,8,[],79112415509,DQI566ecs,1530.0,0.0
547,2025-05-13,7,"[561, 956, 959]",15720759071,XEB805tup,2484.0,1100.0
789,2025-06-31,4,"[146, 253]",75020759171,DQI566ecs,594.0,660.0
132,2025-06-24,1,"[452, 946]",96102016751,EJE533apv,1080.0,430.0
394,2025-04-21,3,"[253, 939]",16102016795,XEB805tup,1512.0,660.0
441,2025-06-06,8,"[148, 939, 987]",65120677783,APV440ysv,651.0,1080.0
1002,2025-05-27,8,[939],79112415509,APV440ysv,1305.0,500.0
128,2025-03-25,3,[385],75020759171,APV440ysv,810.0,290.0
37,2025-03-29,7,"[253, 385, 447]",65102880642,XEB805tup,912.0,950.0
731,2025-05-22,6,[978],15720759071,XEB805tup,3078.0,140.0
118,2025-06-28,2,"[148, 978]",87031491580,APV440ysv,945.0,430.0
236,2025-03-18,5,[],96102016751,ICE284hap,1080.0,0.0
717,2025-04-29,3,"[447, 956, 961]",68011810139,ICE284hap,1134.0,1300.0
127,2025-05-20,6,[253],88091613479,EJE533apv,648.0,160.0
409,2025-05-28,4,[],65120677783,DQI566ecs,1488.0,0.0
779,2025-05-26,6,"[146, 304, 964]",88032898468,EJE533apv,999.0,1100.0
645,2025-05-12,4,[253],79112415509,EJE533apv,720.0,160.0
105,2025-04-16,1,[148],88091613479,EJE533apv,864.0,290.0
605,2025-03-25,8,[964],85100927297,XEB805tup,1581.0,300.0
1,2025-03-11,3,[385],65102880642,DQI566ecs,342.0,290.0
2,2025-04-08,7,"[452, 561]",68011910138,XEB805tup,567.0,640.0
710,2025-04-02,3,"[867, 946]",96091261059,EJE533apv,315.0,430.0
902,2025-05-10,3,"[590, 987]",96091261059,DQI566ecs,420.0,450.0
685,2025-03-13,4,"[590, 900]",75020759171,ICE284hap,405.0,320.0
974,2025-05-06,4,"[304, 540, 959, 978]",79112415509,XEB805tup,180.0,761.0
774,2025-06-10,1,"[385, 534, 665, 946, 964]",79112415509,ICE284hap,270.0,891.0
26,2025-04-07,6,"[452, 978]",79011320010,DQI566ecs,407.0,280.0
364,2025-06-24,6,[],97042365105,DQI566ecs,675.0,0.0
648,2025-03-12,1,"[561, 959, 964]",68011910138,XEB805tup,189.0,1100.0
491,2025-04-15,2,"[867, 987]",84731091580,XEB805tup,972.0,430.0
87,2025-04-08,2,[590],97042365105,APV440ysv,270.0,160.0
977,2025-03-28,1,"[452, 956, 961]",65120677783,DQI566ecs,713.0,940.0
393,2025-06-24,4,"[123, 146, 961]",81050936019,XEB805tup,837.0,1290.0
332,2025-03-20,1,[253],87031491580,APV440ysv,1080.0,160.0
603,2025-05-20,8,"[447, 900]",75020759171,EJE533apv,999.0,660.0
219,2025-06-13,4,[],79011320010,XEB805tup,629.0,0.0
366,2025-06-10,6,"[148, 452, 867]",65020111422,XEB805tup,594.0,570.0
452,2025-03-26,2,"[561, 959]",83051228593,DQI566ecs,1242.0,800.0
434,2025-06-11,3,[385],83051228593,ICE284hap,567.0,290.0
163,2025-04-24,2,"[385, 946]",74010542940,ICE284hap,1190.0,580.0
264,2025-06-19,5,[],02270326116,APV440ysv,918.0,0.0
784,2025-04-26,4,[959],65020111422,XEB805tup,1458.0,300.0
461,2025-06-17,3,"[959, 964]",79011320010,EJE533apv,740.0,600.0
756,2025-03-04,5,"[900, 939, 978]",96102016751,DQI566ecs,135.0,800.0
897,2025-05-06,8,[],65120677783,XEB805tup,248.0,0.0
505,2025-06-21,1,[],81050936019,APV440ysv,713.0,0.0
755,2025-03-22,8,"[123, 867]",96091261059,APV440ysv,1155.0,430.0
349,2025-06-03,4,"[447, 811]",81050936019,DQI566ecs,124.0,569.0
616,2025-03-04,8,"[561, 590, 867]",88032898468,APV440ysv,216.0,800.0
602,2025-05-06,3,"[867, 946, 959]",77012675986,ICE284hap,93.0,730.0
721,2025-03-25,2,"[123, 148]",81050936019,XEB805tup,1426.0,580.0
545,2025-04-08,2,"[146, 148, 590]",87031491580,XEB805tup,324.0,950.0
15,2025-06-11,4,"[452, 956, 987]",83012358273,XEB805tup,806.0,730.0
351,2025-05-06,1,[],81050936019,APV440ysv,31.0,0.0
339,2025-06-24,2,[561],15720759071,XEB805tup,3483.0,500.0
383,2025-03-25,1,"[146, 385]",83051228593,EJE533apv,1188.0,790.0
842,2025-04-26,4,[961],79011320010,XEB805tup,1184.0,500.0
36,2025-03-10,4,"[387, 946, 961]",84731091580,APV440ysv,216.0,930.0
822,2025-06-13,7,"[146, 385]",89122397942,APV440ysv,370.0,790.0
672,2025-06-20,1,"[739, 867]",65020111422,ICE284hap,1053.0,165.0
678,2025-05-28,4,"[119, 987]",85100927297,EJE533apv,1054.0,351.0
693,2025-04-11,2,"[946, 978]",02270326116,DQI566ecs,324.0,430.0
780,2025-04-15,6,[],89122397942,XEB805tup,407.0,0.0
296,2025-04-15,8,"[148, 590, 939]",15720759071,DQI566ecs,1539.0,950.0
660,2025-04-08,2,[447],84731091580,XEB805tup,837.0,500.0
966,2025-05-24,8,[959],96091261059,ICE284hap,1120.0,300.0
1001,2025-04-01,8,[],79112415509,ICE284hap,360.0,0.0
657,2025-03-15,5,[304],96091261059,DQI566ecs,735.0,300.0
354,2025-04-22,1,[],83051228593,XEB805tup,864.0,0.0
147,2025-04-07,4,"[148, 561, 961]",85100927297,XEB805tup,186.0,1290.0
600,2025-04-15,6,[867],88032898468,EJE533apv,729.0,140.0
507,2025-03-29,7,"[304, 385, 956]",15720759071,APV440ysv,864.0,890.0
47,2025-04-15,6,"[123, 452, 959]",74010542940,EJE533apv,1015.0,730.0
175,2025-06-17,5,"[387, 590]",68011910138,ICE284hap,1728.0,300.0
777,2025-03-18,6,"[123, 447, 978]",74010542940,EJE533apv,735.0,930.0
574,2025-05-12,8,[964],65120677783,XEB805tup,496.0,300.0
117,2025-05-21,5,"[123, 964]",74010542940,ICE284hap,1120.0,590.0
404,2025-04-08,2,[],96091261059,APV440ysv,385.0,0.0
275,2025-06-03,8,[900],65020111422,XEB805tup,216.0,160.0
553,2025-06-19,6,"[452, 964]",96102016751,APV440ysv,1053.0,440.0
