first_name,last_name,account_balance
Dominik,Stebel,-656327
Ada,Olkowicz,892112
Jędrzej,Złotnik,-821657
Apolonia,Kurp,-260353
Maksymilian,Trąbka,-940771
Melania,Bork,-837276
Norbert,Bortkiewicz,-513042
Olgierd,Borysiewicz,979883
Julita,Kaletka,-268475
Daniel,Nitkiewicz,997717
Rozalia,Lepak,173258
Igor,Piejko,282794
Malwina,Olas,911747
Kacper,Krzysztoszek,-417705
Michał,Chyb,741031
Cezary,Koźlak,923391
Aleksander,Pacewicz,-205997
Tymon,Karczmarz,-497660
Kalina,Zbrożek,595348
Olaf,Kudra,633480
Olaf,Iskierka,-879036
Franciszek,Kutnik,-184422
Emil,Gruszczyk,538701
Mikołaj,Pośnik,-456323
Ewa,Majzner,707620
Krystian,Stefanik,364525
Miłosz,Puch,-662980
Alex,Wyłupek,82096
Łukasz,Rogacz,-903850
Jeremi,Patoka,708045
Bruno,Kołodziejak,588439
Maciej,Jas,-695538
Olaf,Bany,327754
Marika,Pęciak,-753834
Kacper,Karczmarz,621495
Juliusz,Szymanik,997315
Juliusz,Owczarczak,340446
Krzysztof,Ścibior,105018
Aniela,Borysiuk,687603
Anna Maria,Pachowicz,921400
Gustaw,Pinda,-954431
Bartek,Smagacz,105590
Alex,Kwarciak,-272191
Kornel,Babiuch,-670488
Kornelia,Karkocha,687653
Szymon,Gumuła,-612795
Grzegorz,Kamieniarz,-180463
Marianna,Filek,-28174
Maurycy,Bors,-861907
Angelika,Zapora,-439126
Jacek,Irla,275689
Sonia,Apostel,510914
Eryk,Budkiewicz,-168461
Józef,Gros,500628
Kalina,Słaba,888879
Kamila,Duchnik,654051
Paweł,Szyda,700081
Julian,Nikołajuk,748181
Tymoteusz,Hołubowicz,74279
Justyna,Fraszczyk,599433
Mikołaj,Kociemba,-909018
Blanka,Wandzel,-969121
Anna Maria,Krauz,657061
Natan,Waloszczyk,101815
Melania,Wikło,93793
Sandra,Siergiej,679773
Lidia,Żołna,322821
Karina,Stempniak,-411951
Marcin,Gałaj,-273344
Jędrzej,Maras,323514
Ksawery,Kiliszek,-170983
Angelika,Chłąd,738649
Norbert,Dorobisz,-647235
Albert,Jop,-736522
Andrzej,Miszkiel,-12301
Jeremi,Gramza,616174
Fabian,Kiciak,154251
Rafał,Kopij,-377321
Jacek,Macioł,775750
Lidia,Golenia,812435
Dagmara,Melcer,-253218
Natasza,Wdowczyk,-521003
Tobiasz,Pasztaleniec,763199
Robert,Sus,363957
Melania,Andrukiewicz,528609
Maksymilian,Jarosik,-402041
Antoni,Kieloch,791591
Aurelia,Kręgiel,454913
Filip,Małycha,-680456
Hubert,Stochaj,31044
Anastazja,Gabara,761811
Marika,Bancerz,235700
Dominik,Pietrek,243146
Oliwier,Moneta,-631941
Justyna,Słobodzian,907559
Adrian,Kręcisz,-814659
Łukasz,Monkiewicz,-47169
Jacek,Bojdo,657816
Norbert,Franiak,661757
Alan,Cłapa,48620
Julian,Tokarek,-336036
Stanisław,Polewka,-198603
Bianka,Bugiel,996006
Błażej,Kwasek,-239997
Józef,Grzegorzak,847967
Róża,Banachowicz,-833811
Rafał,Niedojadło,450248
Tadeusz,Jereczek,694329
Anna Maria,Bacia,-994101
Alex,Kinder,-612806
Grzegorz,Bondaruk,-560221
Błażej,Gęca,827186
Wojciech,Stawczyk,-563204
Kacper,Smykała,-613395
Błażej,Mueller,207398
Alex,Chadaj,-433032
Natasza,Rembisz,-719670
Maks,Twardosz,-462571
Anna Maria,Misiejuk,-416855
Józef,Komsta,794749
Marika,Margas,-819115
Wojciech,Miszkiewicz,-893239
Sebastian,Myrcha,184271
Dawid,Klupś,932222
Leon,Żakiewicz,739526
Michał,Wawrzyńczyk,-270444
Norbert,Dzienniak,-121317
Marcin,Korek,-691562
Tobiasz,Abramczuk,-703475
Anna Maria,Lademann,-704930
Monika,Patoka,139816
Filip,Jarczak,341145
Fabian,Krzempek,-888180
Andrzej,Legutko,-39106
Nicole,Jarka,633606
Olgierd,Skubała,69612
Julita,Wojsław,213221
Dagmara,Dydak,395313
Iwo,Golus,20116
Konstanty,Poczta,492420
Jakub,Gołek,-160530
Nikodem,Puch,-369663
Emil,Maziarczyk,79082
Olgierd,Stryjek,956540
Konstanty,Jaźwiec,-487164
Gaja,Prażmo,751213
Tobiasz,Ciemięga,-355768
Piotr,Policht,907725
Kazimierz,Bujko,-684195
Urszula,Obst,793012
Borys,Szyja,-197614
Hubert,Franc,558121
Ryszard,Czupryn,-623962
Olga,Wizner,-47046
Krystyna,Palus,-276405
Cyprian,Zubowicz,562361
Kazimierz,Habdas,470798
Kajetan,Domżał,357815
Igor,Szczechowicz,-918080
Bartek,Dyrek,-693945
Aniela,Aleksandrzak,-192117
Anna Maria,Kliszcz,205926
Filip,Luks,10119
Paweł,Hanusiak,-157610
Józef,Dybiec,-938901
Gabriel,Stanaszek,-711378
Adrianna,Rembacz,-24114
Krystyna,Foit,-475968
Adrianna,Góraj,78067
Kamil,Słupik,388061
Hubert,Bronka,-949877
Mariusz,Raźny,734952
Fabian,Glanc,-813214
Karol,Kubasiewicz,-596626
Anna Maria,Jama,953479
Jeremi,Kolarczyk,443161
Norbert,Preuss,-482990
Andrzej,Wyroba,-913921
Gaja,Ambrożewicz,77088
Damian,Krzysztoszek,-412556
Krzysztof,Małocha,217383
Miłosz,Nalewajek,310601
Nikodem,Nicewicz,255154
Gabriel,Wawrzeńczyk,-169594
Jędrzej,Hewelt,-532524
Dagmara,Borak,-303772
Iwo,Niedojadło,408898
Kornel,Smektała,593907
Kalina,Bisaga,933921
Maciej,Księżyk,-207654
Radosław,Ziajka,-501392
Dominik,Kurzaj,735692
Alan,Sacharczuk,-418891
Jędrzej,Kretek,505104
Ewelina,Fiołek,544313
Kamila,Bodzak,449654
Leon,Mętel,567182
Karina,Karwala,474041
Anna Maria,Demiańczuk,552069
Aleksander,Stawczyk,690616
Kazimierz,Kotlarek,437493
Inga,Golisz,-669393
Alex,Szymaniuk,-39283
Anna Maria,Cibor,868956
Angelika,Kornek,356076
Szymon,Pierz,-250297
Eryk,Dybka,996281
Tola,Pabiś,-658357
Janina,Pochroń,-837535
Grzegorz,Prochownik,170556
Wojciech,Dziurdzia,688762
Kazimierz,Fikus,924931
Fryderyk,Sondej,861474
Ewelina,Rysz,533269
Aleksander,Ufnal,651065
Rozalia,Głownia,-712299
Aleksander,Smykała,-313148
Maks,Gorgol,-550084
Eryk,Zgoła,426705
Monika,Bazyluk,-601792
Ksawery,Kononowicz,-660537
Jerzy,Serwach,166111
Ewelina,Dydo,-84971
Urszula,Miśkowiec,418920
Bianka,Kuropatwa,622795
Natan,Łodej,755704
Igor,Kupidura,30900
Łukasz,Hyży,746469
Marcelina,Stawowczyk,79505
Melania,Chowaniak,237907
Nataniel,Szulist,238089
Dawid,Trepka,253041
Angelika,Cyroń,527459
Cyprian,Drewnik,223328
Ksawery,Ryfa,200581
Mikołaj,Kornet,751821
Łukasz,Nestorowicz,716361
Alex,Borkowicz,203717
Olga,Orzeszek,423061
Anna Maria,Kukawka,-93771
Jakub,Czupryn,-156105
Krzysztof,Kocurek,396977
Tola,Radko,175070
Dariusz,Kojder,442083
Franciszek,Linka,750637
Justyna,Pedrycz,11774
Olgierd,Frukacz,-279729
Robert,Knapek,881364
Dominik,Bryda,-920322
Kazimierz,Kiliszek,-453223
Bartek,Durlak,-736494
Dominik,Janka,-491575
Józef,Schwarz,439087
Franciszek,Szajner,979361
Tola,Szymajda,-129310
Melania,Słobodzian,-917841
Dawid,Serwach,187264
Maciej,Franaszek,-352132
Angelika,Gozdur,283307
Gaja,Szczypiór,948192
Stefan,Ochal,-901478
Hubert,Stasica,186971
Aurelia,Mszyca,846793
Stefan,Myrcha,939902
Fryderyk,Satora,906390
Przemysław,Jop,374146
Olga,Machul,881314
Maksymilian,Zimoląg,108240
Kamil,Połom,857742
Mateusz,Budzyń,274223
Konrad,Twardzik,336611
Agnieszka,Sochaj,-464045
Przemysław,Kurczab,-534126
Antoni,Kazek,670110
Jan,Szczot,-295772
Olaf,Hennig,597106
Piotr,Rajtar,-284979
Nataniel,Składanek,815388
Dawid,Kuster,67307
Justyna,Sypek,464999
Patryk,Konsek,867917
Karol,Maziarczyk,-535351
Błażej,Bembenek,660040
Fabian,Kołaczek,-472713
Norbert,Domowicz,149594
Cezary,Kossak,-632154
Błażej,Leżoń,-53099
Konrad,Ślęczka,-305546
Marcelina,Bodek,790407
Jerzy,Matusewicz,101779
Jacek,Wawak,609275
Albert,Bogdał,443410
Sara,Simon,-1317
Marianna,Wojtasiewicz,29498
Jacek,Sroga,-457467
Leonard,Furga,-72115
Marianna,Jędrasiak,472758
Przemysław,Wódka,552398
Radosław,Miros,-928594
Konstanty,Drobisz,-731582
Franciszek,Gąszczak,137953
Przemysław,Zybura,214591
Marcelina,Rejniak,729416
Jakub,Pietrewicz,639333
Maurycy,Taciak,120899
Marcin,Mortka,814810
Marcin,Wołczyk,-297043
Jędrzej,Kluczek,126376
Adam,Bąkiewicz,-999574
Szymon,Reiter,203076
Ida,Maciejko,519610
Rafał,Makulec,95359
Eryk,Florian,-415814
Aniela,Deneka,610376
Sonia,Sobiło,-652972
Marianna,Pędzik,37866
Paweł,Protasiuk,894255
Jeremi,Kusik,-879296
Dariusz,Zasępa,312682
Cyprian,Feliksiak,629161
Jakub,Szarejko,514638
Julian,Frost,-932648
Klara,Łyjak,-899645
Piotr,Biesaga,749705
Konrad,Sośniak,-991
Klara,Banachowicz,701842
Aurelia,Chudoba,571817
Bruno,Teodorowicz,628021
Monika,Dudkowiak,-635065
Damian,Sobisz,-69858
Leonard,Wołodźko,-622493
Igor,Giers,-339148
Dorota,Wac,855143
Krystyna,Kleinschmidt,-373780
Cyprian,Delikat,-148482
Jacek,Goworek,-192699
Karol,Świergiel,886834
Daniel,Świerszcz,-92412
Albert,Sierota,-268402
Borys,Janoszek,224358
Janina,Domowicz,923905
Jan,Baś,219530
Krzysztof,Szumiec,-213931
Dorota,Osada,2170
Bianka,Zbylut,-634967
Sandra,Malon,-294531
Tola,Barłóg,587365
Wojciech,Molak,605277
Nicole,Kursa,-40258
Eryk,Walocha,-247747
Nikodem,Dziugieł,-627441
Kazimierz,Wac,325750
Kornelia,Strawa,-33065
Adrian,Żok,963855
Alan,Kobryń,383715
Stefan,Złotnik,-750821
Dawid,Dmoch,505771
Daniel,Żakiewicz,496751
Kamil,Knieć,923670
Natasza,Słupik,53614
Dariusz,Preś,-21944
Maks,Naczk,7332
Natasza,Zybura,116740
Roksana,Majdak,-282196
Ryszard,Mizia,-49743
Cezary,Błaziak,-290210
Stanisław,Mizak,-867605
Olaf,Dyszy,-438099
Artur,Bielas,-190454
Józef,Duczek,820940
Eryk,Kryza,-819555
Krystian,Kramer,452013
Aleksander,Zuziak,-565294
Lidia,Tadych,-275220
Adam,Hetmańczyk,626469
Gabriel,Czylok,216162
Borys,Kurzak,883006
Tymon,Mendyka,641874
Ewa,Śleziak,823329
Maksymilian,Bancerz,462599
Iwo,Jaszczyszyn,400109
Julian,Siciarz,-929050
Alan,Rzucidło,-448270
Błażej,Grabara,152151
Ida,Przewłoka,136269
Arkadiusz,Mrozowicz,-368233
Kajetan,Kornek,134247
Apolonia,Potęga,872701
Malwina,Dobosiewicz,-837485
Wojciech,Drewicz,-433096
Justyna,Siemek,756113
Robert,Karol,-243231
Sonia,Kunysz,-531275
Przemysław,Gordon,-178075
Robert,Cibor,-255525
Tobiasz,Matyjasek,-213308
Adrian,Hnat,-962317
Gustaw,Paśnik,-949389
Andrzej,Pietrek,-599245
Olga,Tekiela,317710
Ewelina,Kazimierczyk,739919
Albert,Wydmuch,433582
Janina,Plizga,773755
Marianna,Buśko,117781
Franciszek,Grabias,214416
Tobiasz,Majnusz,-743793
Olga,Sadura,-979297
Albert,Florian,-241997
Aleksander,Zdancewicz,-727297
Eliza,Frycz,329572
Arkadiusz,Langa,835162
Ksawery,Kwapień,648113
Bianka,Balas,774233
Anita,Majorczyk,583974
Adrian,Joniak,-405643
Jeremi,Szmelter,394472
Adrianna,Zackiewicz,-681222
Marek,Kaletka,-131038
Ewa,Widłak,-892989
Borys,Mytnik,631039
Bruno,Grabczak,846687
Marek,Szpala,726861
Agnieszka,Karwan,-879330
Janina,Ćmiel,499712
Przemysław,Małota,-351877
Kamil,Klyta,-435311
Dagmara,Kurzydło,827337
Daniel,Kuśka,-637148
Ida,Dejneka,-257174
Sebastian,Janiga,931672
Juliusz,Dębosz,990512
Mariusz,Feret,634846
Jędrzej,Prochownik,520372
Cezary,Dynak,-914143
Oskar,Sapeta,-4515
Patryk,Senator,-255120
Tomasz,Wandas,595985
Radosław,Stachewicz,-571025
Tadeusz,Madzia,-275586
Dagmara,Holeksa,-505264
Kacper,Ogrodowicz,732130
Krzysztof,Gill,338605
Kalina,Ferdyn,-481482
Krystyna,Hynek,-513735
Stefan,Matulka,-440860
Olga,Bork,962627
Anita,Baum,552218
Anna Maria,Rezler,-926779
Ewa,Kowalówka,-964333
Stefan,Skonieczka,-522153
Konrad,Kościukiewicz,116107
Inga,Betka,729243
Adrian,Strzoda,-961507
Apolonia,Oślizło,103118
Justyna,Hanzel,840727
Nataniel,Franaszek,-179853
Angelika,Moczko,531297
Jan,Wyskiel,-38587
Olaf,Kornek,165648
Dominik,Kasznia,-290144
Grzegorz,Bytner,200130
Kacper,Gieroń,148762
Paweł,Handke,-961181
Kornelia,Przybyś,-97417
Stanisław,Liss,997762
Ignacy,Kubasiewicz,895742
Justyna,Pacocha,221627
Konstanty,Cofała,974131
Ida,Wasilewicz,369200
Krzysztof,Szwałek,2839
Blanka,Karczmarek,-738247
Agnieszka,Kawula,-625650
Gabriel,Serwach,-452189
Stanisław,Jambor,984782
Rozalia,Borzych,-969064
Daniel,Brodawka,678408
Fryderyk,Jaśko,220851
Melania,Kurda,630349
Kazimierz,Dudkowiak,-158968
Jerzy,Szoka,29049
Jeremi,Bojczuk,-712784
Daniel,Darul,-564095
Kazimierz,Grzeszkowiak,-972131
Eryk,Ciuk,-325166
Olga,Stefanik,32030
Andrzej,Jarosik,-136798
Tobiasz,Prokopiak,-396048
Adam,Gałach,488082
Oliwier,Palej,44676
Nataniel,Sakwa,-867887
Paweł,Potoczna,54804
Dawid,Proch,925801
Justyna,Wasiuk,764576
Mieszko,Piekarek,468173
Dominik,Bobel,-983164
Paweł,Świerkot,285503
Krzysztof,Ciastek,-940912
Filip,Putek,442966
Anna Maria,Suda,-126955
Iwo,Igras,604862
Olaf,Salach,-364282
Krystyna,Ornat,865992
Adrianna,Duniec,777179
Nataniel,Golczyk,46568
Piotr,Krata,80594
Mariusz,Krata,-284721
Urszula,Sadownik,-996468
Marika,Bazylewicz,118144
Ernest,Łaskawiec,-791190
Aniela,Krzysztofek,887747
Kamila,Kargol,-653772
Natasza,Dankiewicz,987067
Agnieszka,Ziarnik,740212
Mikołaj,Steckiewicz,-435856
Olga,Neubauer,727118
Marek,Łosiak,452509
Janina,Prawdzik,309342
Gustaw,Gierach,90164
Jan,Matulewicz,565244
Franciszek,Pagacz,567350
Julita,Owczarczak,-81776
Krzysztof,Kargol,204840
Dariusz,Gieroń,189964
Blanka,Mila,-532530
Kamil,Sutor,920925
Dagmara,Machowiak,556277
Inga,Puto,860564
Krystian,Kopyt,946426
Kajetan,Stefankiewicz,43078
Marianna,Madziar,139601
Olgierd,Prokopiak,557420
Bartek,Faltyn,260816
Jacek,Burchardt,827104
Gustaw,Romankiewicz,-324316
Aleksander,Armatys,839763
Janina,Wypiór,-814604
Arkadiusz,Sobieszczyk,766526
Kaja,Witka,521149
Monika,Kiełek,-23322
Nicole,Śliz,-397419
Bruno,Chomik,-729606
Ewa,Nastaj,-418821
Dawid,Majtyka,-568224
Emil,Sołek,311023
Rozalia,Wojnicz,321846
Róża,Klos,-181967
Maks,Starostka,737611
Aniela,Gral,806225
Norbert,Piłka,-573278
Klara,Duży,264874
Marek,Gregorczuk,875370
Elżbieta,Trepczyk,764840
Grzegorz,Tatarczyk,345611
Tola,Pastuła,626409
Witold,Siwa,76225
Tymon,Stochel,-986108
Urszula,Długajczyk,458501
Emil,Majnusz,657365
Jacek,Kobak,106485
Mikołaj,Foit,-769417
Justyna,Sidorczuk,14090
Jacek,Kloch,410160
Blanka,Radziewicz,414009
Kornel,Wyłupek,918640
Sonia,Padło,916907
Grzegorz,Kobryń,-74193
Roksana,Szczap,-919756
Stefan,Bawoł,838236
Maciej,Płaneta,-505684
Sara,Wisła,932207
Filip,Burdach,-335370
Kaja,Zeman,-267108
Kamila,Niebudek,-170506
Gaja,Fijałek,-901713
Eliza,Bek,525605
Cyprian,Witkowicz,-986048
Maks,Topa,849452
Damian,Feluś,395253
Tymon,Tofil,769778
Kazimierz,Gleba,449221
Tobiasz,Krzyżostaniak,-757073
Sara,Herda,-458525
Maks,Chojna,-109208
Michał,Przewoźna,264495
Adam,Strzyż,-648618
Maks,Sykut,991385
Szymon,Posłuszna,753777
Borys,Katana,-926037
Nicole,Pogorzelec,-117783
Melania,Wyroba,626044
Fryderyk,Klama,658771
Marika,Barej,-888791
Krzysztof,Białach,-442147
Ignacy,Lampa,670267
Apolonia,Matus,807740
Sebastian,Kuder,-254771
Gabriel,Maciuszek,181791
Mariusz,Danieluk,-992642
Ernest,Tomaszkiewicz,433851
Konrad,Łój,-13187
Marek,Maciejuk,638403
Marcin,Rusnak,-783607
Bartek,Citko,152897
Cezary,Komperda,89242
Krystian,Sudnik,-490667
Alan,Wereda,504017
Aleks,Andrzejuk,-319317
Rozalia,Grzesiek,109737
Rozalia,Żymełka,-142033
Błażej,Dmoch,-976621
Anastazja,Imiołczyk,330693
Wiktor,Podsiedlik,172380
Tadeusz,Łuczkiewicz,-310993
Andrzej,Bok,24195
Olga,Dydo,958886
Ignacy,Ksel,-84403
Marek,Walencik,-118870
Kornel,Froń,-188705
Wiktor,Jędra,-871105
Antoni,Wajer,-337410
Monika,Szłapka,890790
Błażej,Mytych,-826934
Juliusz,Balik,321685
Sara,Malarczyk,28449
Ida,Weremczuk,682757
Anastazja,Leszkiewicz,-907068
Alan,Jasica,-604899
Krystyna,Glonek,-353530
Ksawery,Taczała,103619
Józef,Wujek,275211
Dorota,Kubowicz,-277398
Ada,Dyczko,489028
Oliwier,Mrozowicz,-476594
Sandra,Strzelczak,967191
Kaja,Kajstura,-725761
Radosław,Stochel,-921988
Jacek,Ryznar,-864209
Fryderyk,Mućka,187543
Antoni,Gamrat,-274128
Krystian,Klekot,-618412
Klara,Siwa,-912843
Artur,Słomiany,-678833
Justyna,Markiel,849655
Julianna,Paściak,807114
Bruno,Dębniak,985860
Daniel,Szumiec,-764468
Julita,Maszota,153953
Aurelia,Gierak,-663418
Wojciech,Podleśna,-204879
Rozalia,Dziurdzia,382715
Jan,Stochaj,-905812
Kazimierz,Kaziród,39047
Jędrzej,Sosnówka,-107222
Krzysztof,Witko,-818163
Natasza,Kozaczuk,-669226
Norbert,Gomuła,-764264
Krzysztof,Iwańczyk,-491525
Hubert,Kuk,-884856
Marek,Ciepluch,404363
Dorota,Galon,-415844
Piotr,Bastek,808462
Julian,Sobisz,-421081
Alan,Wocial,-200806
Julian,Sypuła,844882
Elżbieta,Michalczak,-61478
Olgierd,Głowiak,-862009
Wiktor,Składanek,925354
Miłosz,Madera,-243594
Szymon,Kaczmarkiewicz,-53745
Borys,Mielke,376993
Kornelia,Wojtiuk,-9023
Malwina,Dubik,324252
Józef,Banak,-533496
Norbert,Suszko,578114
Piotr,Kraszkiewicz,-547883
Łukasz,Zegar,599143
Sebastian,Muskała,597716
Apolonia,Bulczak,-188135
Bianka,Kabala,596932
Natan,Ernst,-203622
Krzysztof,Smagacz,-214267
Ignacy,Zdonek,715752
Fabian,Drygała,-982442
Nicole,Kaszkowiak,30708
Artur,Ziarek,-358954
Roksana,Hyży,457080
